id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
1075358,1311748,3000.0,3000.0,3000.0, 60 months,12.69,67.79,B,B5,University Medical Group,1 year,RENT,80000.0,Source Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075358,"  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>",other,Personal,972xx,OR,17.94,0.0,Jan-1996,0.0,38.0,,15.0,0.0,27783.0,53.9,38.0,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0.0,0.0,0.0,Jan-2016,67.79,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1069639,1304742,7000.0,7000.0,7000.0, 60 months,15.96,170.08,C,C5,Southern Star Photography,8 years,RENT,47004.0,Not Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069639,"  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>",debt_consolidation,Loan,280xx,NC,23.51,0.0,Jul-2005,1.0,,,7.0,0.0,17726.0,85.6,11.0,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0.0,0.0,0.0,Jan-2016,170.08,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1065420,1299514,10000.0,10000.0,9975.0, 60 months,15.96,242.97,C,C5,US Legal Support,2 years,RENT,29120.0,Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1065420,,debt_consolidation,Brown Eyes Loan,330xx,FL,22.83,0.0,Feb-1997,1.0,68.0,,11.0,0.0,16158.0,63.6,31.0,f,2695.31,2688.53,11622.36,11593.4,7304.67,4317.69,0.0,0.0,0.0,Jan-2016,242.97,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1069346,1304237,12500.0,12500.0,12475.0, 60 months,12.69,282.44,B,B5,United States Infrastructure Corporation,1 year,RENT,27000.0,Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069346,  Borrower added on 12/20/11 > The purpose of this loan is to pay off my credit card debt. The remaining will go towards my student loan.<br>,debt_consolidation,Credit card debt,604xx,IL,16.04,0.0,Dec-2001,3.0,,,6.0,0.0,10143.0,50.0,24.0,f,3193.13,3186.72,13506.54,13479.58,9306.87,4199.67,0.0,0.0,0.0,Jan-2016,282.44,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1068934,1277395,17500.0,8950.0,8925.0, 60 months,17.27,223.74,D,D3,,6 years,RENT,40000.0,Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1068934,"  Borrower added on 11/28/11 > Thanks.<br> Borrower added on 12/05/11 > Hello,<br>I am in need of the money to purchase a tractor for my new business. I have a signed contract for guaranteed income for the next 5 years. Just need some extra support to get started. I appreciate the assistance.<br><br> Borrower added on 11/28/11 > Thanks.<br> Borrower added on 12/05/11 > Hello,<br>I am in need of the money to purchase a tractor for my new business. I have a signed contract for guaranteed income for the next 5 years. Just need some extra support to get started. I appreciate the assistance.<br>",small_business,Start Up,951xx,CA,19.47,0.0,May-2006,1.0,,,5.0,0.0,10724.0,58.9,6.0,f,2462.25,2455.34,10713.52,10683.65,6487.75,4225.77,0.0,0.0,0.0,Jan-2016,223.74,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1063958,1297940,14000.0,14000.0,13975.0, 60 months,17.27,349.98,D,D3,community colleges of spokane,4 years,RENT,28000.0,Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1063958,  Borrower added on 12/18/11 > most of my teeth need root canals and crowns. As far as day to day expenses goes I live a spartan life style buying only what I need saving money whenever possible. So that I can pay off my debt as quickly as possible.<br>,other,dental care,992xx,WA,6.34,0.0,Jul-2005,2.0,,,5.0,0.0,6986.0,79.4,10.0,f,3842.41,3835.51,16777.04,16747.17,10157.6,6619.44,0.0,0.0,0.0,Jan-2016,349.98,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1068575,1303001,15300.0,15300.0,15275.0, 60 months,22.06,423.1,F,F4,OSSI,6 years,RENT,85000.0,Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1068575,,credit_card,Consolidation,226xx,VA,20.58,0.0,Feb-1984,2.0,56.0,,14.0,0.0,26524.0,89.7,27.0,f,4523.91,4516.51,20295.8,20262.65,10776.09,9519.71,0.0,0.0,0.0,Jan-2016,423.1,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1067874,1302235,6000.0,6000.0,6000.0, 60 months,12.69,135.57,B,B5,Anadarko Petroleum Corporation,< 1 year,RENT,81000.0,Source Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1067874,  Borrower added on 12/15/11 > The following is more information regarding the loan request:<br><br>1.) I plan to use the funds to pay for wedding expenses.<br><br>2.) I have never defaulted on a loan or filed for bunkruptcy.<br><br>3.) My job is very stable with great growth opportunities.<br><br><br>,major_purchase,Major Purchase Loan,802xx,CO,13.66,1.0,Nov-2004,0.0,20.0,,6.0,0.0,15102.0,50.0,17.0,f,1527.6,1527.6,6495.11,6495.11,4472.4,2022.71,0.0,0.0,0.0,Jan-2016,135.57,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1034693,1264291,16000.0,16000.0,16000.0, 60 months,17.58,402.65,D,D4,Menards,7 years,RENT,65000.0,Not Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1034693,  Borrower added on 12/18/11 > We have never been late or missed any payments to any of our creditors.  We are planning on using this loan to help us get out of our current situation which will help us be more financially stable in the future.<br>,debt_consolidation,Debt Consolidation Loan,672xx,KS,15.56,0.0,Oct-1996,0.0,,,8.0,0.0,21166.0,87.1,16.0,f,4415.97,4415.97,19297.95,19297.95,11584.03,7713.92,0.0,0.0,0.0,Jan-2016,402.65,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
1067654,1302043,16000.0,16000.0,15975.0, 60 months,9.91,339.25,B,B1,Indian river county clerk of court,10+ years,OWN,40000.0,Verified,Dec-2011,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1067654,  Borrower added on 12/27/11 > This loan will be used to pay all revolving credit balances in order two have one monthly payment.<br>,debt_consolidation,Debt consolidation,329xx,FL,9.39,0.0,Jun-1993,1.0,,,6.0,0.0,13270.0,28.5,23.0,f,3861.12,3855.09,16282.75,16257.31,12138.89,4143.86,0.0,0.0,0.0,Dec-2015,339.25,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
